Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
2415.887,4.01E-04,8.63E-04,4.54E-04,7.97E-04,5.77E-04,2.58E-04,3.28E-04,3.66E-04,5.21E-04,0.00134,0.00166,0.00168,0.00186,0.00194,0.00292,0.00334,0.00401,0.00437,0.00431,0.00321,0.00343,0.00299,0.00311,0.00313,0.00325,0.00338
2416.369,4.06E-04,8.62E-04,4.52E-04,7.98E-04,5.73E-04,2.53E-04,3.21E-04,3.59E-04,5.20E-04,0.00134,0.00166,0.00169,0.00187,0.00193,0.00292,0.00334,0.00401,0.00436,0.00432,0.00321,0.00342,0.00299,0.00311,0.00313,0.00324,0.00336
2416.852,4.11E-04,8.62E-04,4.48E-04,7.99E-04,5.69E-04,2.49E-04,3.13E-04,3.54E-04,5.19E-04,0.00134,0.00166,0.00169,0.00187,0.00193,0.00293,0.00334,0.00402,0.00436,0.00432,0.00321,0.00342,0.00298,0.00311,0.00313,0.00324,0.00335
2417.333,4.13E-04,8.65E-04,4.43E-04,7.99E-04,5.65E-04,2.50E-04,3.07E-04,3.50E-04,5.16E-04,0.00133,0.00166,0.0017,0.00188,0.00193,0.00293,0.00335,0.00402,0.00436,0.00433,0.0032,0.00342,0.00298,0.00311,0.00313,0.00323,0.00334
2417.816,4.14E-04,8.71E-04,4.39E-04,7.99E-04,5.62E-04,2.54E-04,3.04E-04,3.50E-04,5.14E-04,0.00133,0.00166,0.0017,0.00189,0.00193,0.00294,0.00336,0.00403,0.00436,0.00434,0.0032,0.00342,0.00298,0.00311,0.00313,0.00324,0.00335
2418.298,4.15E-04,8.77E-04,4.37E-04,8.00E-04,5.61E-04,2.62E-04,3.04E-04,3.53E-04,5.12E-04,0.00133,0.00166,0.0017,0.0019,0.00193,0.00294,0.00337,0.00404,0.00437,0.00434,0.0032,0.00342,0.00298,0.00312,0.00314,0.00324,0.00335
2418.78,4.17E-04,8.83E-04,4.37E-04,8.02E-04,5.61E-04,2.72E-04,3.06E-04,3.57E-04,5.10E-04,0.00133,0.00166,0.0017,0.00191,0.00193,0.00294,0.00338,0.00404,0.00438,0.00434,0.0032,0.00342,0.00298,0.00312,0.00314,0.00325,0.00336
2419.262,4.19E-04,8.87E-04,4.41E-04,8.05E-04,5.63E-04,2.85E-04,3.10E-04,3.64E-04,5.11E-04,0.00133,0.00167,0.00171,0.00192,0.00193,0.00295,0.00339,0.00405,0.0044,0.00434,0.00321,0.00342,0.00298,0.00313,0.00315,0.00326,0.00338
2419.744,4.21E-04,8.88E-04,4.47E-04,8.10E-04,5.66E-04,2.98E-04,3.16E-04,3.71E-04,5.13E-04,0.00133,0.00167,0.00171,0.00193,0.00193,0.00295,0.00339,0.00405,0.00441,0.00434,0.00322,0.00342,0.00298,0.00313,0.00315,0.00327,0.00339
